,word
0,I
1,ME
2,MY
3,MYSELF
4,WE
5,OUR
6,OURS
7,OURSELVES
8,YOU
9,YOU'RE
10,YOU'VE
11,YOU'LL
12,YOU'D
13,YOUR
14,YOURS
15,YOURSELF
16,YOURSELVES
17,HE
18,HIM
19,HIS
20,HIMSELF
21,SHE
22,SHE'S
23,HER
24,HERS
25,HERSELF
26,IT
27,IT'S
28,ITS
29,ITSELF
30,THEY
31,THEM
32,THEIR
33,THEIRS
34,THEMSELVES
35,WHAT
36,WHICH
37,WHO
38,WHOM
39,THIS
40,THAT
41,THAT'LL
42,THESE
43,THOSE
44,AM
45,IS
46,ARE
47,WAS
48,WERE
49,BE
50,BEEN
51,BEING
52,HAVE
53,HAS
54,HAD
55,HAVING
56,DO
57,DOES
58,DID
59,DOING
60,A
61,AN
62,THE
63,AND
64,BUT
65,IF
66,OR
67,BECAUSE
68,AS
69,UNTIL
70,WHILE
71,OF
72,AT
73,BY
74,FOR
75,WITH
76,ABOUT
77,AGAINST
78,BETWEEN
79,INTO
80,THROUGH
81,DURING
82,BEFORE
83,AFTER
84,ABOVE
85,BELOW
86,TO
87,FROM
88,UP
89,DOWN
90,IN
91,OUT
92,ON
93,OFF
94,OVER
95,UNDER
96,AGAIN
97,FURTHER
98,THEN
99,ONCE
100,HERE
101,THERE
102,WHEN
103,WHERE
104,WHY
105,HOW
106,ALL
107,ANY
108,BOTH
109,EACH
110,FEW
111,MORE
112,MOST
113,OTHER
114,SOME
115,SUCH
116,NO
117,NOR
118,NOT
119,ONLY
120,OWN
121,SAME
122,SO
123,THAN
124,TOO
125,VERY
126,S
127,T
128,CAN
129,WILL
130,JUST
131,DON
132,DON'T
133,SHOULD
134,SHOULD'VE
135,NOW
136,D
137,LL
138,M
139,O
140,RE
141,VE
142,Y
143,AIN
144,AREN
145,AREN'T
146,COULDN
147,COULDN'T
148,DIDN
149,DIDN'T
150,DOESN
151,DOESN'T
152,HADN
153,HADN'T
154,HASN
155,HASN'T
156,HAVEN
157,HAVEN'T
158,ISN
159,ISN'T
160,MA
161,MIGHTN
162,MIGHTN'T
163,MUSTN
164,MUSTN'T
165,NEEDN
166,NEEDN'T
167,SHAN
168,SHAN'T
169,SHOULDN
170,SHOULDN'T
171,WASN
172,WASN'T
173,WEREN
174,WEREN'T
175,WON
176,WON'T
177,WOULDN
178,WOULDN'T
